bar,equity
0,1000000.0
1,999941.23
2,999881.66
3,999879.36
4,999874.48
5,999870.01
6,999868.56
7,999799.06
8,999739.96
9,999681.06
10,999617.22
11,999615.78
12,999611.85
13,999608.87
14,999602.55
15,999533.4
16,999467.71
17,999463.49
18,999473.17
19,999413.58
20,999335.86
21,999276.87
22,999217.87
23,999153.61
24,999095.06
25,999103.08
26,999038.24
27,998978.85
28,998981.91
29,998918.09
30,998916.29
31,998913.1
32,998908.77
33,998842.14
34,998779.2
35,998717.75
36,998711.05
37,998652.19
38,998645.51
39,998583.59
40,998592.21
41,998531.76
42,998471.81
43,998413.42
44,998410.33
45,998352.36
46,998288.84
47,998229.17
48,998223.55
49,998165.18
50,998097.96
51,998035.3
52,998030.49
53,997969.33
54,997910.97
55,997852.66
56,997853.7
57,997849.99
58,997791.46
59,997870.25
60,997868.98
61,997810.47
62,997750.51
63,997691.96
64,997625.05
65,997567.06
66,997507.35
67,997447.6
68,997442.7
69,997440.47
70,997382.15
71,997324.18
72,997265.91
73,997262.91
74,997262.02
75,997259.71
76,997195.8
77,997193.13
78,997196.57
79,997138.15
80,997077.08
81,997138.28
82,997080.05
83,997075.75
84,997086.76
85,997083.41
86,997080.62
87,997016.83
88,997010.6
89,996951.61
90,996836.75
91,996775.13
92,996714.01
93,996708.79
94,996645.53
95,996640.36
96,996577.84
97,996519.28
98,996525.93
99,996464.64
100,996464.2
101,996403.38
102,996400.3
103,996339.93
104,996279.4
105,996216.72
106,996158.64
107,996095.55
108,996034.89
109,995970.69
110,995912.79
111,995961.36
112,995899.55
113,995892.95
114,995834.12
115,995769.98
116,995711.9
117,995653.27
118,995649.05
119,995588.27
120,995583.45
121,995515.63
122,995450.89
123,995388.86
124,995421.95
125,995347.58
126,995284.21
127,995222.09
128,995135.22
129,995135.51
130,995075.12
131,995014.19
132,995016.36
133,994952.59
134,994949.89
135,994892.1
136,994886.11
137,994826.69
138,994767.76
139,994761.89
140,994757.94
141,994753.16
142,994689.08
143,994682.76
144,994704.2
145,994696.44
146,994690.04
147,994610.79
148,994538.54
149,994444.15
150,994446.36
151,994382.71
152,994320.45
153,994261.89
154,994197.74
155,994195.14
156,994193.7
157,994126.86
158,994120.72
159,994063.19
160,994062.63
161,994003.06
162,993940.73
163,993934.22
164,993930.17
165,993871.77
166,993865.0
167,993807.52
168,993745.64
169,993740.56
170,993679.43
171,993621.95
172,993619.35
173,993617.04
174,993614.92
175,993549.7
176,993556.42
177,993548.58
178,993486.79
179,993481.91
180,993419.08
181,993419.03
182,993360.38
183,993357.73
184,993357.5
185,993288.37
186,993222.57
187,993214.62
188,993210.69
189,993205.59
190,993207.49
191,993147.09
192,993143.5
193,993076.16
194,993003.22
195,992942.67
196,992935.59
197,992850.71
198,992863.81
199,992953.79
200,992950.58
201,992888.01
202,992825.0
203,992822.14
204,992763.63
205,992703.57
206,992641.75
207,992640.21
208,992569.56
209,992564.82
210,992505.06
211,992447.37
212,992447.22
213,992386.54
214,992321.19
215,992314.46
216,992253.54
217,992186.02
218,992125.16
219,992118.02
220,992057.24
221,992053.18
222,992046.29
223,991989.63
224,991914.58
225,991856.67
226,991792.0
227,991796.73
228,991739.67
229,991782.25
230,991776.76
231,991781.38
232,991775.35
233,991769.35
234,991761.99
235,991702.49
236,991640.99
237,991571.39
238,991510.98
239,991507.12
240,991520.66
241,991463.1
242,991404.59
243,991336.93
244,991342.75
245,991281.96
246,991201.65
247,991141.48
248,990935.18
249,990953.68
250,990959.93
251,990961.24
252,990966.13
253,990958.06
254,990952.92
255,990890.74
256,990832.11
257,990764.06
258,990697.38
259,990636.89
260,990630.35
261,990570.86
262,990587.89
263,990529.17
264,990453.35
265,990392.83
266,990333.24
267,990255.4
268,990194.65
269,990117.5
270,990120.3
271,990060.05
272,989998.12
273,989934.82
274,989931.37
275,989868.47
276,989801.1
277,989808.8
278,989812.44
279,989807.41
280,989744.38
281,989743.61
282,989735.35
283,989678.2
284,989669.92
285,989612.94
286,989549.0
287,989543.77
288,989486.21
289,989423.2
290,989365.45
291,989298.95
292,989232.94
293,989175.93
294,989112.93
295,989047.88
296,988989.58
297,988985.05
298,988979.12
299,988906.82
300,988901.14
301,988825.13
302,988827.46
303,988826.71
304,989063.31
305,989005.57
306,988943.58
307,988885.17
308,988826.64
309,988767.64
310,988702.69
311,988638.22
312,988632.14
313,988570.55
314,988509.65
315,988445.5
316,988467.41
317,988388.84
318,988331.3
319,988324.12
320,988264.02
321,988206.33
322,988145.93
323,988141.14
324,988143.61
325,988142.32
326,988134.06
327,988125.28
328,988125.73
329,988065.29
330,988058.5
331,988056.58
332,987999.58
333,987938.13
334,987862.67
335,987800.37
336,987925.65
337,987923.32
338,987919.64
339,987918.34
340,987913.75
341,987854.07
342,987844.89
343,987787.91
344,987727.08
345,987724.39
346,987717.06
347,987659.94
348,987655.34
349,987660.21
350,987598.6
351,987592.31
352,987582.98
353,987526.05
354,987466.53
355,987459.87
356,987462.5
357,987387.66
358,987385.52
359,987382.35
360,987380.33
361,987370.87
362,987304.76
363,987298.37
364,987293.57
365,987295.23
366,987218.56
367,987216.1
368,987154.47
369,987088.95
370,987027.58
371,986968.21
372,986903.35
373,986894.35
374,986885.37
375,986877.15
376,986809.33
377,986751.47
378,986694.1
379,986628.49
380,986568.67
381,986506.6
382,986448.53
383,986459.92
384,986393.66
385,986333.07
386,986335.66
387,986325.91
388,986260.85
389,986200.86
390,986131.66
391,986073.57
392,986078.31
393,986098.29
394,986024.21
395,985967.57
396,985885.56
397,985829.04
398,985750.94
399,985746.97
400,985652.19
401,985651.47
402,985642.93
403,985583.37
404,985517.52
405,985448.61
406,985375.62
407,985318.58
408,985249.33
409,985183.82
410,985118.44
411,985116.74
412,985052.5
413,984987.75
414,984984.0
415,984981.52
416,984911.77
417,984854.75
418,984792.94
419,984734.48
420,984673.55
421,984615.49
422,984556.43
423,984482.55
424,984417.91
425,984357.17
426,984300.36
427,984225.8
428,984159.22
429,984099.95
430,984032.08
431,983958.85
432,983953.21
433,983884.84
434,983825.66
435,983763.87
436,983686.97
437,983628.68
438,983561.76
439,983504.88
440,983438.14
441,983374.06
442,983301.32
443,983296.65
444,983239.83
445,983180.3
446,983118.4
447,983048.21
448,982990.85
449,982933.99
450,982873.53
451,982810.52
452,982753.69
453,982693.42
454,982689.11
455,982628.29
456,982565.13
457,982495.25
458,982433.22
459,982372.19
460,982311.7
461,982248.91
462,982243.64
463,982183.37
464,982124.65
465,982061.44
466,982054.28
467,982004.03
