entry_bar,exit_bar,side,entry_price,exit_price,quantity,pnl,exit_reason,confidence
33,47,SELL,25795.64,25773.15,1,2.49,TP,0.8776
52,60,SELL,25777.69,25753.45,1,4.24,TP,0.8287
67,84,SELL,25746.15,25721.54,1,4.61,TP,0.7339
105,126,SELL,25730.7,25708.84,1,1.86,TP,0.8816
133,157,SELL,25685.16,25664.03,1,1.13,TP,0.6887
162,177,SELL,25647.07,25620.47,1,6.6,TP,0.7821
182,186,BUY,25602.67,25625.52,1,2.85,TP,0.8508
191,206,SELL,25616.18,25590.27,1,5.91,TP,0.7526
219,234,BUY,25597.32,25622.87,1,5.56,TP,0.571
239,256,SELL,25619.43,25598.32,1,1.11,TP,0.6739
262,278,SELL,25599.18,25577.96,1,1.22,TP,0.6314
286,301,BUY,25560.86,25584.13,1,3.27,TP,0.6934
306,314,SELL,25581.43,25552.21,1,9.22,TP,0.6415
319,328,SELL,25559.44,25535.61,1,3.83,TP,0.5679
333,339,BUY,25496.65,25517.59,1,0.95,TP,0.676
344,346,SELL,25518.24,25477.69,1,20.55,TP,0.544
351,354,SELL,25468.81,25494.5,1,-45.69,SL,0.552
359,364,SELL,25442.51,25415.23,1,7.28,TP,0.6556
369,375,BUY,25409.53,25457.31,1,27.78,TP,0.5341
380,385,SELL,25453.31,25416.28,1,17.03,TP,0.6171
390,391,BUY,25428.53,25398.32,1,-50.21,SL,0.7026
396,407,SELL,25470.4,25503.05,1,-52.64,SL,0.6526
412,416,SELL,25496.9,25525.25,1,-48.35,SL,0.6323
421,428,SELL,25504.15,25482.79,1,1.35,TP,0.7214
433,436,BUY,25487.95,25512.5,1,4.55,TP,0.6666
441,446,BUY,25541.31,25564.34,1,3.03,TP,0.6861
451,465,BUY,25574.46,25598.88,1,4.42,TP,0.7068
476,525,SELL,25584.48,25610.17,1,-45.69,SL,0.4843
537,557,SELL,25599.83,25630.88,1,-51.05,SL,0.4622
566,581,SELL,25657.37,25634.93,1,2.44,TP,0.7242
586,607,BUY,25598.17,25566.94,1,-51.23,SL,0.6044
612,613,SELL,25534.69,25560.61,1,-45.92,SL,0.5477
618,630,BUY,25547.71,25570.23,1,2.53,TP,0.6963
635,639,SELL,25601.78,25578.31,1,3.47,TP,0.6762
646,675,BUY,25580.46,25606.83,1,6.36,TP,0.4935
680,705,SELL,25616.23,25644.58,1,-48.35,SL,0.6009
710,724,SELL,25629.07,25603.12,1,5.95,TP,0.7736
729,741,SELL,25569.08,25545.41,1,3.68,TP,0.8613
746,750,BUY,25560.41,25631.97,1,51.56,TP,0.71
755,762,BUY,25726.04,25749.6,1,3.55,TP,0.9167
767,788,SELL,25741.4,25719.99,1,1.41,TP,0.929
797,826,SELL,25725.55,25703.44,1,2.11,TP,0.6338
831,838,SELL,25696.21,25672.23,1,3.98,TP,0.9339
843,865,BUY,25662.53,25683.66,1,1.13,TP,0.7252
870,881,SELL,25686.61,25660.43,1,6.18,TP,0.7681
891,959,SELL,25661.52,25689.99,1,-48.47,SL,0.6739
964,990,SELL,25658.02,25634.73,1,3.29,TP,0.6861
1001,1037,SELL,25655.97,25632.98,1,2.99,TP,0.7201
1050,1064,BUY,25641.78,25668.31,1,6.54,TP,0.5526
1069,1097,SELL,25688.46,25723.39,1,-54.93,SL,0.7786
1110,1125,SELL,25714.66,25601.37,1,93.29,TP,0.7613
1130,1140,SELL,25566.64,25539.11,1,7.53,TP,0.9655
1145,1158,SELL,25508.6,25539.91,1,-51.31,SL,0.856
1163,1171,SELL,25496.75,25528.7,1,-51.96,SL,0.4984
1176,1183,SELL,25517.15,25494.5,1,2.65,TP,0.6037
1190,1218,SELL,25506.7,25480.04,1,6.65,TP,0.5041
1227,1238,BUY,25470.89,25493.15,1,2.26,TP,0.4509
1260,1287,SELL,25513.5,25490.45,1,3.05,TP,0.5388
1295,1310,SELL,25469.75,25442.54,1,7.22,TP,0.5215
1321,1337,SELL,25423.91,25394.63,1,9.29,TP,0.5502
1342,1362,BUY,25399.48,25424.16,1,4.68,TP,0.6883
1367,1379,SELL,25409.42,25383.73,1,5.69,TP,0.5819
1384,1389,BUY,25344.92,25372.77,1,7.86,TP,0.7553
1394,1405,BUY,25370.52,25390.87,1,0.35,TP,0.5576
1410,1421,SELL,25404.92,25434.54,1,-49.62,SL,0.5657
1426,1433,SELL,25436.46,25409.68,1,6.78,TP,0.6688
1438,1454,SELL,25410.87,25386.33,1,4.54,TP,0.5602
1489,1500,BUY,25440.64,25543.19,1,82.55,TP,0.525
1505,1512,BUY,25565.96,25587.83,1,1.87,TP,0.881
1527,1545,BUY,25575.81,25600.53,1,4.72,TP,0.6719
1577,1622,SELL,25637.07,25612.97,1,4.1,TP,0.827
1630,1697,SELL,25604.78,25580.87,1,3.91,TP,0.5663
1702,1703,SELL,25506.25,25537.61,1,-51.36,SL,0.8418
1708,1713,SELL,25509.3,25484.9,1,4.4,TP,0.8605
1718,1726,SELL,25484.0,25456.89,1,7.11,TP,0.8678
1736,1752,SELL,25466.56,25441.44,1,5.12,TP,0.5887
1761,1788,SELL,25468.06,25447.64,1,0.42,TP,0.5026
1793,1803,BUY,25450.34,25478.5,1,8.16,TP,0.5486
1808,1813,SELL,25482.15,25455.84,1,6.31,TP,0.6353
1818,1845,SELL,25466.85,25506.6,1,-59.75,SL,0.4555
1852,1875,SELL,25492.8,25570.76,1,-97.96,SL,0.4936
1880,1884,SELL,25527.04,25503.55,1,3.5,TP,0.6109
1889,1897,BUY,25509.55,25530.39,1,0.84,TP,0.6444
1902,1905,SELL,25537.94,25569.61,1,-51.67,SL,0.6162
1910,1914,SELL,25547.84,25515.7,1,12.14,TP,0.7334
1919,1925,BUY,25523.45,25546.74,1,3.29,TP,0.5243
1930,1942,SELL,25564.69,25544.16,1,0.53,TP,0.6692
1947,1976,SELL,25542.54,25514.2,1,8.34,TP,0.4591
1989,1998,SELL,25508.45,25542.06,1,-53.61,SL,0.4845
2003,2006,BUY,25540.51,25563.59,1,3.08,TP,0.4808
2011,2020,SELL,25523.49,25485.0,1,18.5,TP,0.5326
2027,2060,SELL,25472.5,25442.14,1,10.37,TP,0.5997
2080,2099,SELL,25440.46,25419.88,1,0.58,TP,0.4783
2104,2116,SELL,25446.66,25425.28,1,1.38,TP,0.4993
